1,Leslie Knope,"Well, one of the funner things that we do here in Pawnee is the annual Easter egg hunt."
2,Leslie Knope,"Tom hides the eggs, and I have to say he did an exceptional job this year."
3,Leslie Knope,I've been searching for 25 minutes and I haven't found a single egg.
4,Leslie Knope,And I'm an adult.
5,Tom Haverford,Oh.
6,Tom Haverford,"Yeah, I forgot to do that."
7,Leslie Knope,Maybe Tom's trying to make this year a challenge.
8,Leslie Knope,"And if so, he's succeeding."
9,Leslie Knope,I don't think a single egg has been found yet.
10,Leslie Knope,Let's keep looking.
11,Leslie Knope,We're gonna find one.
12,Leslie Knope,I'm going to see my mom.
13,Leslie Knope,She's a big mucky-muck in the county school system.
14,Leslie Knope,She's my hero.
15,Leslie Knope,How do I explain her?
16,Leslie Knope,She's as respected as Mother Teresa.
17,Leslie Knope,"She's as powerful as Stalin, and she's as beautiful as Margaret Thatcher."
18,Marlene Griggs-Knope,"In or out, Leslie."
19,Marlene Griggs-Knope,Doorway is creepy.
20,Leslie Knope,"Right, sorry."
21,Leslie Knope,Choosing in.
22,Marlene Griggs-Knope,"So, what do you want, Leslie?"
23,Leslie Knope,"Just here to gossip, gab, chat, stuff we do."
24,Leslie Knope,"But it looks like you're super busy, and I am super busy, so I shall bid you adieu."
25,Leslie Knope,Oh.
26,Leslie Knope,That's weird.
27,Leslie Knope,I just remembered something.
28,Leslie Knope,I have my own subcommittee now.
29,Leslie Knope,Yeah.
30,Leslie Knope,I'm sure you've heard something about it.
31,Leslie Knope,People are talking about it.
32,Marlene Griggs-Knope,No.
33,Leslie Knope,Oh.
34,Leslie Knope,Well.
35,Leslie Knope,"Anyway, we're having a town hall meeting tomorrow at 7:00 p.m. at the Smithfield Community Center."
36,Marlene Griggs-Knope,Mmm.
37,Leslie Knope,"Yeah, I'm leading it."
38,Leslie Knope,It's no biggie.
39,Leslie Knope,"I mean, it is."
40,Leslie Knope,It's a big deal.
41,Leslie Knope,"I mean, I don't know."
42,Leslie Knope,You know-- You want to come?
43,Marlene Griggs-Knope,Oh.
44,Marlene Griggs-Knope,"Honey, Geez."
45,Marlene Griggs-Knope,You know how busy I am.
46,Leslie Knope,I know.
47,Leslie Knope,I know.
48,Leslie Knope,I know!
49,Leslie Knope,That's why I fake invited you.
50,Marlene Griggs-Knope,I'll try to be there.
51,Leslie Knope,Okay.
52,Leslie Knope,"So, everybody's here."
53,Leslie Knope,Let's get started.
54,Mark Brendanawicz,Ow!
55,Leslie Knope,Sorry.
56,Leslie Knope,"Oh, I'm sorry."
57,Leslie Knope,Metal.
58,Leslie Knope,Sorry.
59,Marlene Griggs-Knope,That's really loud.
60,Leslie Knope,Subcommittee members.
