1,Leslie Knope,Hello.
2,Leslie Knope,Hi.
3,Leslie Knope,"My name is Leslie Knope, and I work for the Parks and Recreation Department."
4,Leslie Knope,Can I ask you a few questions?
5,Leslie Knope,"Would you say that you are, ""Enjoying yourself and having fun, having a moderate amount of fun and somewhat enjoying yourself, or having no fun and no enjoyment?"""
6,Leslie Knope,I'm gonna put a lot of fun.
7,Child,"Ms. Knope, there's a drunk stuck in the slide."
8,Leslie Knope,"Sir, this is a children's slide."
9,Leslie Knope,You're not allowed to sleep in here.
10,Extra,What is?
11,Leslie Knope,"You know, when I first tell people that I work in the government, they say, ""Oh."""
12,Leslie Knope,"""The government."""
13,Leslie Knope,"""The government stinks."""
14,Leslie Knope,"""The lines are too long at the DMV."""
15,Leslie Knope,But now things have changed.
16,Leslie Knope,People need our help.
17,Leslie Knope,And it feels good to be needed.
18,Leslie Knope,Could you put your arms to your side?
19,Leslie Knope,And that might help you slide down a little easier.
20,Drunk,We don't--
21,Leslie Knope,Do you want to come this way?
22,Drunk,Uhuh.
23,Leslie Knope,"Okay, we're gonna need you to get out."
24,Drunk,Can you please go away?
25,Leslie Knope,Get out of the slide.
26,Leslie Knope,Okay?
27,Drunk,You're Can you please go away?
28,Leslie Knope,Here we go!
29,Leslie Knope,"Okay, wake up."
30,Leslie Knope,Here we go.
31,Leslie Knope,Out of the slide.
32,Leslie Knope,"You know, government isn't just a boys' club anymore."
33,Leslie Knope,Women are everywhere.
34,Leslie Knope,It's a great time to be a woman in politics.
35,Leslie Knope,"Hillary Clinton, Sarah Palin, me, Nancy Pelosi."
36,Leslie Knope,We did it!
37,Leslie Knope,"You know, I like to tell people, you know, ""Get on board and buckle up, because my ride's gonna be a big one."""
38,Leslie Knope,"And if you get motion sickness, you know, put your head between your knees 'cause Leslie Knope's stopping for no one."
39,Ron Swanson,Tonight is our next monthly community outreach public forum.
40,Leslie Knope,And that is tonight.
41,Ron Swanson,That is tonight.
42,Leslie Knope,Right.
43,Ron Swanson,Leslie will be running it.
44,Ron Swanson,And we need one more.
45,Ron Swanson,Who wants in?
46,Ron Swanson,Tom.
47,Tom Haverford,Fine.
48,Leslie Knope,This is a great thing for you guys to see.
49,Leslie Knope,This is where the rubber of government meets the road of actual human beings.
50,Leslie Knope,"When I go through these doors, I need to be on."
51,Leslie Knope,Like the White House Press Secretary.
52,Leslie Knope,Are you ready?
53,Tom Haverford,Yeah.
54,Leslie Knope,Okay.
55,Leslie Knope,Here we go.
56,Leslie Knope,It's locked.
57,Leslie Knope,Okay.
58,Leslie Knope,Here we go.
59,Leslie Knope,Thank you so much for coming.
60,Leslie Knope,What an amazing turnout.
61,Leslie Knope,My name is Leslie Knope.
62,Leslie Knope,"I am the deputy director of the Parks and Recreation Department, and tonight we're gonna be taking some of your questions as--"
63,Leslie Knope,Hello?
64,Leslie Knope,We're having a meeting in here.
65,Tom Haverford,Does anybody have any questions about permits?
66,Leslie Knope,"So, take two."
67,Leslie Knope,"I'm Leslie Knope, and with me is department member Tom Haverford."
68,Leslie Knope,"We are here to answer any and all of your questions, so fire away."
69,Extra,"Well, it's a great day, because last month they put me in jail."
70,Extra,That's right.
71,Extra,The head of the police is a ninth degree Mason.
72,Extra,But the music is so loud.
73,Extra,"Stop the graffiti, please."
74,Extra,Please.
75,Leslie Knope,I don't like obscenities just as much as you don't like them.
76,Extra,"No, it drives me crazy."
77,Extra,I have kids.
78,Leslie Knope,Right.
79,Extra,"But I've got my little three year old, I'm going through the park and someone's like, ""Hey [bleep] my [bleep]"" And the guy's, ""You [bleep] my [bleep], you [bleep] head."""
80,Leslie Knope,"These people are members of a community that care about where they live, so what I hear when I'm being yelled at is people caring loudly at me."
81,Extra,"Now, I have a few things I want to say about Laura Linney."
82,Leslie Knope,"Thank you so much, Barry."
83,Leslie Knope,Always great to have you here.
84,Leslie Knope,Anyone else who would like to contribute?
85,Ann Perkins,Hi.
86,Ann Perkins,"Hi, hi."
87,Ann Perkins,Hi.
88,Ann Perkins,I'm Ann Perkins.
89,Ann Perkins,"I'm a nurse, and frankly, I don't really care for politics, but I'm here to talk about the abandoned lot on Sullivan Street."
90,Leslie Knope,Excellent.
91,Leslie Knope,That sounds like a good idea.
92,Leslie Knope,Tell us about that.
93,Ann Perkins,"No, it's a problem."
94,Ann Perkins,It almost killed my boyfriend.
95,Leslie Knope,Oh.
96,Ann Perkins,Yeah.
97,Ann Perkins,"There's a lot nearby my house, and a developer dug out a basement for some condos, and then they went bankrupt, so there's just this giant pit, and it's been there for almost a year."
98,Leslie Knope,"Twelve months, yes."
99,Leslie Knope,Go on.
100,Ann Perkins,"Yeah, and my boyfriend, who is a musician, actually, I support him, but anyway, he fell in and broke both his legs."
101,Tom Haverford,"Ann, let me speak with you for a minute."
102,Tom Haverford,"So, your boyfriend fell down into this pit, right?"
103,Ann Perkins,Yes.
104,Tom Haverford,"And, this guy, is it pretty serious?"
105,Tom Haverford,Are you guys living together?
106,Ann Perkins,Yes.
107,Tom Haverford,"Wow, I'm sure this must be really tough for you."
108,Tom Haverford,"You know, just, this guy, sounds like he didn't have a lot going on for him to start with, and now both legs broken."
109,Tom Haverford,He's just weak.
110,Tom Haverford,You have to take care of him.
111,Tom Haverford,You probably feel like you need to move on.
112,Ann Perkins,What does this--
113,Tom Haverford,"Just become more adventurous in relationships with your body, just in"
114,Ann Perkins,Are you actually hitting on me right now?
115,Tom Haverford,Oh.
116,Tom Haverford,Oh.
117,Tom Haverford,"God, no."
118,Tom Haverford,I'm not hitting on you.
119,Tom Haverford,I'm actually married.
120,Tom Haverford,"I'm just an open person, and I like connecting with people."
121,Tom Haverford,"I'm, you know, very comfortable around women, attractive women."
122,Tom Haverford,I've spent a lot of time with them.
123,Tom Haverford,And I just-- I don't know.
124,Tom Haverford,I feel like we might be taking up too much of the forum's time.
125,Tom Haverford,Maybe we can just exchange numbers.
126,Tom Haverford,"You know, maybe go away one weekend and just kind of talk about this."
127,Ann Perkins,Look --
128,Tom Haverford,I'd love to do it.
129,Ann Perkins,"The bottom line is I've been trying to get this thing fixed for months, and nobody's done anything, and it's ugly, and it's dangerous, and it's government owned, and you need to do something about it."
130,Leslie Knope,Okay.
131,Leslie Knope,I'll do something about it.
132,Ann Perkins,Really?
133,Leslie Knope,"Yes, we-- I will help you."
134,Ann Perkins,Is that a promise?
135,Leslie Knope,It's more than a promise.
136,Leslie Knope,It's a pinky promise.
137,Leslie Knope,"I pinky promise all of you that I will help, and I will go to that location tomorrow, and we will fill in that pit, and then when that's done, we're gonna put a park on the land."
138,Ann Perkins,Okay.
139,Leslie Knope,"Well, I've worked at the Parks Department for six years, and I've handled a lot of things that I'm proud of."
140,Leslie Knope,"Recently, I led a city-wide drive to disinfect the sandbox sand after we had those problems with the cats."
141,Leslie Knope,"But this pit, the chance to build a whole new park from scratch, this could be my Hoover Dam."
142,Tom Haverford,"No, that sounds great."
143,Tom Haverford,"Problem is, anything over 25 dollars I have to report, so maybe give my wife a call and give her the suits, and then if they don't fit her, maybe she'll give them to me."
144,Leslie Knope,Morning.
145,Tom Haverford,"All right, Mr. Mayor."
146,Tom Haverford,That sounds good.
147,Tom Haverford,I'll see you on Saturday for the Ultimate Frisbee game.
148,Tom Haverford,Bye.
149,Tom Haverford,"Leslie, hello."
150,Leslie Knope,You were talking to the mayor?
151,Tom Haverford,"Yep, we were just rapping about some things."
152,Leslie Knope,Tom and I work really well together.
153,Leslie Knope,We're both outsiders.
154,Leslie Knope,"I'm a woman, he's a... I think he's a Libyan."
155,Tom Haverford,"I am from Bennettsville, South Carolina."
156,Tom Haverford,I am what you might call a redneck.
157,Leslie Knope,"Okay, brainstorm."
158,Leslie Knope,How do we make this park happen?
159,Tom Haverford,Let's go to the city council directly and ask them to put up the money.
